fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.79282,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.80907,0.01042,0.01157,0.92435,0.00047,2.96778,0.8,7.5,0.4195,1.40429,0.0142,0.7,0.3758,0.0,0.10126,0.55711,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.79,0.0091,0.01006,0.96961,0.00051,2.65097,0.7512,6.97768,0.37551,1.64413,0.0142,0.71979,0.3758,0.0,0.10126,0.53764,0.0,0.0,0.0,0.48247,1.0,0.0,0.0
0.7782,0.01027,0.00923,0.97065,0.00054,2.88505,0.8,8.40136,0.37733,1.49906,0.01617,0.6788,0.3758,0.0,0.12094,0.54342,0.0,0.0,0.0,0.5,0.77013,0.0,0.0
0.74679,0.00809,0.0106,0.98,0.00051,2.77919,0.70044,7.04373,0.39999,1.78521,0.01247,0.75479,0.4485,0.0,0.11495,0.74633,0.0,0.0,0.0,0.47819,1.0,0.0,0.0
0.78755,0.01099,0.00953,0.92435,0.00045,3.24012,0.8,7.70272,0.4195,1.40429,0.0142,0.79775,0.44906,0.0,0.08636,0.24309,0.0,0.0,0.0,0.65634,1.0,0.0,0.0
0.79755,0.01218,0.00981,0.89112,0.00039,3.91578,0.67511,5.59407,0.36644,1.64877,0.01076,0.9,0.3758,0.0,0.12239,0.50351,0.0,0.0,0.0,0.46337,1.0,0.0,0.0
0.80227,0.00975,0.01227,0.8893,0.00052,3.03083,0.68327,7.48816,0.38863,1.40429,0.0142,0.73846,0.3758,0.0,0.10758,0.59755,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.79296,0.01063,0.01153,0.92627,0.00047,2.95205,0.8,7.20053,0.4195,1.41387,0.0142,0.6938,0.37257,0.0,0.1025,0.54257,0.0,0.0,0.0,0.4824,1.0,0.0,0.0
0.80238,0.00976,0.01224,0.88851,0.00052,3.04052,0.68327,7.50373,0.38797,1.40668,0.01423,0.73846,0.37561,0.0,0.10729,0.59756,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.79893,0.01006,0.01155,0.88253,0.00053,2.97979,0.70212,7.00594,0.40693,1.34228,0.01436,0.72973,0.40737,0.0,0.10228,0.64412,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.7957,0.00967,0.01195,0.86016,0.00049,2.75067,0.66816,7.20723,0.36037,1.58519,0.01308,0.70003,0.29865,0.0,0.1205,0.68286,0.0,0.0,0.0,0.54399,0.91249,0.0,0.0
0.8108,0.01075,0.01139,0.91922,0.00047,3.03763,0.81395,7.51652,0.41462,1.40429,0.01374,0.7,0.38342,0.0,0.10074,0.55711,0.0,0.0,0.0,0.50589,1.0,0.0,0.0
0.79059,0.01039,0.01226,0.93825,0.00044,3.24425,0.71706,6.91636,0.4195,1.5304,0.01338,0.7,0.37413,0.0,0.08696,0.57898,0.0,0.0,0.0,0.49615,1.0,0.0,0.0
0.79221,0.01022,0.01227,0.89902,0.00051,3.08458,0.68327,7.48816,0.39221,1.40429,0.013,0.73693,0.3716,0.0,0.11103,0.60367,0.0,0.0,0.0,0.51884,1.0,0.0,0.0
