                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3935,                 1.4169,                 1.1683,                0.67845,                0.54158,                0.59587,                0.25373,                 1.8832,                 1.8379,                 1.5822,               0.070319,              0.0032979,              0.0032979
                      2,                 1.3814,                 1.0696,                 1.1939,                0.65976,                0.64291,                0.68618,                0.40894,                  1.476,                  1.892,                 1.3102,               0.039663,              0.0059747,              0.0059747
                      3,                  1.263,                0.91274,                 1.1335,                0.78583,                0.78484,                0.85545,                0.51964,                 1.2426,                 3.1025,                 1.1742,              0.0083462,              0.0079916,              0.0079916
                      4,                 1.2206,                0.84706,                 1.1123,                0.76769,                0.77757,                 0.8269,                 0.4865,                 1.4832,                 1.0983,                 1.5123,                0.00703,                0.00703,                0.00703
                      5,                 1.1783,                0.80597,                 1.0857,                0.96843,                0.95187,                0.98603,                0.66869,                 1.0997,                 1.0058,                  1.028,                0.00703,                0.00703,                0.00703
                      6,                 1.0895,                0.72982,                 1.0486,                0.96806,                0.97247,                0.99237,                 0.6745,                 1.0839,                0.66008,                 1.0121,                0.00604,                0.00604,                0.00604
                      7,                 1.0799,                0.68857,                 1.0527,                 0.9787,                0.98277,                0.99265,                0.69901,                 1.0272,                0.63253,                 1.0188,                0.00505,                0.00505,                0.00505
                      8,                 1.0054,                0.62119,                 1.0048,                0.99463,                0.99123,                0.99479,                0.76566,                0.93809,                0.53902,                0.96612,                0.00406,                0.00406,                0.00406
                      9,                0.96748,                0.58557,                0.98737,                0.98883,                0.99465,                0.99457,                0.78721,                0.83947,                0.49607,                0.94366,                0.00307,                0.00307,                0.00307
                     10,                0.94091,                0.55169,                0.97837,                0.99792,                0.99465,                  0.995,                0.77036,                0.83489,                0.48274,                0.93343,                0.00208,                0.00208,                0.00208
