                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4526,                 1.2543,                 1.1525,                0.02345,                0.91979,                0.23763,                0.09708,                 1.7065,                 98.112,                 1.4981,                0.07014,              0.0034733,              0.0034733
                      2,                  1.397,                0.90183,                 1.1345,                0.74947,                0.76471,                0.79948,                 0.4374,                 1.5852,                 2.2292,                 1.3494,               0.039269,              0.0062937,              0.0062937
                      3,                 1.2841,                0.76918,                 1.1081,                0.67071,                0.59893,                 0.6559,                0.36356,                 1.6997,                 1.5413,                 1.5857,              0.0083601,              0.0083601,              0.0083601
                      4,                 1.2847,                0.72979,                 1.1031,                0.91978,                0.94118,                0.97149,                0.58941,                 1.4016,                  1.178,                 1.2205,              0.0083601,              0.0083601,              0.0083601
                      5,                 1.1915,                0.66688,                 1.0455,                0.97846,                 0.9718,                0.99001,                0.70204,                 1.0206,                0.57952,                 0.9769,              0.0073302,              0.0073302,              0.0073302
                      6,                 1.1187,                0.60887,                 1.0129,                0.97292,                0.96075,                0.98708,                0.69097,                 1.0474,                0.56236,                0.97213,              0.0063002,              0.0063002,              0.0063002
                      7,                 1.0871,                0.55734,                 0.9923,                0.97215,                0.98396,                0.99222,                0.74013,                0.95229,                0.49937,                0.93662,              0.0052703,              0.0052703,              0.0052703
                      8,                 1.0353,                0.52432,                0.97329,                0.98925,                0.98439,                0.99362,                0.75192,                0.96128,                0.47961,                0.94957,              0.0042403,              0.0042403,              0.0042403
                      9,                 1.0058,                0.49542,                0.96507,                0.99418,                0.99465,                  0.995,                0.77336,                0.86295,                 0.4311,                0.91952,              0.0032104,              0.0032104,              0.0032104
                     10,                0.95832,                0.46243,                0.93862,                0.98903,                 0.9893,                0.99463,                0.78846,                0.82791,                0.39491,                0.89544,              0.0021804,              0.0021804,              0.0021804
